id,severidad,dominio,archivo:linea,descripcion,impacto,recomendacion,esfuerzo_h,sprint,estado,riesgo_legal,monto_multa_clp
P0-01,P0,Funcional,models/ (ausente),Finiquito ausente - sin wizard ni calculos indemnizaciones,CRITICO - Multas Art. 162 CT + demandas laborales,Crear wizard hr.payslip.severance + calculos Art. 162-177 CT (sueldo proporcional + vacaciones + indemnizacion años servicio + aviso previo),60,Sprint 0,PENDIENTE,Codigo del Trabajo Art. 162,30000000
P0-02,P0,Integracion,models/ (ausente),Export Previred ausente - archivo 105 campos no existe,CRITICO - Multas D.L. 3.500 + inhabilitacion representante legal,Crear wizard.previred.export + generacion archivo 105 campos + validaciones formato + certificado F30-1,70,Sprint 0,PENDIENTE,D.L. 3.500 Art. 19,20000000
P0-03,P0,Normativa,hr_payslip.py:950,Tabla Impuesto Unico hardcoded - no versionada por año,ALTO - Retenciones erroneas SII + intereses moratorios,Migrar a modelo hr.tax.bracket con vigencia año + montos en UTM (no CLP absoluto),16,Sprint 0,PENDIENTE,Ley Impuesto Unico,10000000
P0-04,P0,Normativa,hr_economic_indicators.py:150,Indicadores economicos manuales - riesgo desactualizacion UF/UTM/UTA,ALTO - Errores calculo base imponible + topes AFP incorrectos,Activar integracion AI-Service + cron mensual dia 1 + validacion rangos historicos,12,Sprint 0,PENDIENTE,D.L. 3.500 Art. 16,5000000
P0-05,P0,Calculo,hr_payslip.py:450,APV no integrado - no descuenta ni rebaja base tributable,MEDIO - Error tributario trabajador + reclamos laborales,Implementar linea descuento APV + rebaja de base tributable si Regimen A (hasta UF 600/año),8,Sprint 0,PENDIENTE,Ley 20.255 Art. 42 ter,3000000
P1-01,P1,Testing,tests/ (ausente),Edge cases sin tests - contrato parcial + cambio AFP + licencia,ALTO - Bugs en produccion + errores calculo criticos,Crear 5 tests: contrato_parcial + cambio_afp + licencia_medica + retroactivo + finiquito_dias_adicionales,24,Sprint 1,PENDIENTE,Riesgo Operacional,8000000
P1-02,P1,Contabilidad,hr_payslip.py:1360,AFC empleador sin asiento contable - no aparece en costeo,MEDIO - Costeo empleado incorrecto + centros costo descuadrados,Generar asiento contable al confirmar payslip (Gasto Remuneraciones vs Provision Cotizaciones),12,Sprint 1,PENDIENTE,Riesgo Contable,2000000
P1-03,P1,Performance,models/ (general),Performance no medida - sin benchmarks p50/p95,MEDIO - Riesgo lentitud batch 100+ empleados,Agregar profiling + test carga + metricas p50/p95 + alertas > 500ms individual,8,Sprint 1,PENDIENTE,Riesgo Operacional,1000000
P1-04,P1,Normativa,hr_payslip.py:1360,Reforma Previsional 2025 hardcoded - tabla aporte empleador anual,BAJO - Requiere upgrade codigo cada año,Migrar calendario gradual a tabla BD con vigencia (2024: 0.5% → 2030: 3.5%),6,Sprint 2,PENDIENTE,Riesgo Tecnico,500000
P2-01,P2,Documentacion,README.md,Documentacion normativa incompleta - sin referencias articulos CT,BAJO - Dificulta auditoria SII + Inspeccion Trabajo,Agregar referencias legales en docstrings + Wiki con articulos CT/DL/Leyes aplicables,8,Sprint 2,PENDIENTE,Riesgo Auditoria,0
P2-02,P2,Observabilidad,models/ (general),Logs sin contexto - falta correlationId + timestamp estructurado,BAJO - Dificulta troubleshooting produccion,Agregar correlationId + timestamp ISO + payslip_id en todos los logs,4,Sprint 2,PENDIENTE,Riesgo Operacional,0
P2-03,P2,Seguridad,models/hr_payslip.py:320,Logs pueden exponer sueldos - violacion Ley 19.628,BAJO - Riesgo Proteccion Datos Personales,Sanitizar logs sensibles (sueldos + RUT) + usar placeholders *** + audit trail separado,6,Sprint 2,PENDIENTE,Ley 19.628,2000000
P3-01,P3,UX,views/ (general),Vistas sin ayuda contextual - usuarios no entienden campos,BAJO - Dificulta uso + errores input manual,Agregar tooltips normativos + help text en campos criticos (AFP + ISAPRE + APV + gratificacion),8,Sprint 3,PENDIENTE,Riesgo UX,0
P3-02,P3,Arquitectura,models/ (general),Sin eventos webhook - no extensible para integraciones,BAJO - Limita integraciones futuras (ERP externo + BI),Agregar eventos Odoo 19 CE (payslip_confirmed + payslip_paid + indicators_updated),12,Sprint 3,PENDIENTE,Riesgo Tecnico,0
TOTAL,,,,,,,254,,,TOTAL_RIESGO,81500000
